Linear Regression,0.038677778,"['free sulfur dioxide', 'pH', 'citric acid', 'chlorides', 'total sulfur dioxide', 'volatile acidity']"
Linear Regression,0.038677778,"['free sulfur dioxide', 'sulphates', 'citric acid', 'chlorides', 'total sulfur dioxide', 'volatile acidity']"
Linear Regression,0.038677778,"['free sulfur dioxide', 'residual sugar', 'citric acid', 'chlorides', 'total sulfur dioxide', 'volatile acidity']"
Linear Regression,0.038677778,"['free sulfur dioxide', 'citric acid', 'chlorides', 'total sulfur dioxide', 'fixed acidity', 'volatile acidity']"
Linear Regression,0.038677778,"['free sulfur dioxide', 'pH', 'sulphates', 'residual sugar', 'citric acid', 'total sulfur dioxide', 'volatile acidity']"
Linear Regression,0.038677778,"['free sulfur dioxide', 'pH', 'sulphates', 'citric acid', 'total sulfur dioxide', 'fixed acidity', 'volatile acidity']"
Linear Regression,0.038677778,"['free sulfur dioxide', 'sulphates', 'residual sugar', 'citric acid', 'total sulfur dioxide', 'fixed acidity', 'volatile acidity']"
Linear Regression,0.038677778,"['free sulfur dioxide', 'pH', 'sulphates', 'residual sugar', 'citric acid', 'total sulfur dioxide', 'fixed acidity', 'volatile acidity']"
Linear Regression,0.03955679,"['citric acid', 'total sulfur dioxide', 'volatile acidity']"
Linear Regression,0.03955679,"['free sulfur dioxide', 'pH', 'sulphates', 'citric acid', 'total sulfur dioxide', 'volatile acidity']"
Linear Regression,0.03955679,"['free sulfur dioxide', 'sulphates', 'residual sugar', 'citric acid', 'total sulfur dioxide', 'volatile acidity']"
Linear Regression,0.03955679,"['free sulfur dioxide', 'sulphates', 'citric acid', 'total sulfur dioxide', 'fixed acidity', 'volatile acidity']"
Linear Regression,0.03955679,"['free sulfur dioxide', 'pH', 'sulphates', 'residual sugar', 'chlorides', 'fixed acidity', 'volatile acidity']"
Linear Regression,0.03955679,"['free sulfur dioxide', 'pH', 'alcohol', 'citric acid', 'chlorides', 'total sulfur dioxide', 'volatile acidity']"
Linear Regression,0.03955679,"['free sulfur dioxide', 'pH', 'residual sugar', 'citric acid', 'chlorides', 'total sulfur dioxide', 'volatile acidity']"
Linear Regression,0.03955679,"['free sulfur dioxide', 'pH', 'citric acid', 'chlorides', 'total sulfur dioxide', 'fixed acidity', 'volatile acidity']"
Linear Regression,0.03955679,"['free sulfur dioxide', 'sulphates', 'alcohol', 'citric acid', 'chlorides', 'total sulfur dioxide', 'volatile acidity']"
Linear Regression,0.03955679,"['free sulfur dioxide', 'alcohol', 'residual sugar', 'citric acid', 'chlorides', 'total sulfur dioxide', 'volatile acidity']"
Linear Regression,0.03955679,"['free sulfur dioxide', 'alcohol', 'citric acid', 'chlorides', 'total sulfur dioxide', 'fixed acidity', 'volatile acidity']"
Linear Regression,0.03955679,"['free sulfur dioxide', 'residual sugar', 'citric acid', 'chlorides', 'total sulfur dioxide', 'fixed acidity', 'volatile acidity']"
Linear Regression,0.03955679,"['free sulfur dioxide', 'pH', 'sulphates', 'alcohol', 'citric acid', 'chlorides', 'total sulfur dioxide', 'volatile acidity']"
